time,temperature_2m,name
2025-05-27T00:00,27.1,Bangkok
2025-05-27T01:00,27.5,Bangkok
2025-05-27T02:00,28.1,Bangkok
2025-05-27T03:00,28.2,Bangkok
2025-05-27T04:00,28.4,Bangkok
2025-05-27T05:00,28.7,Bangkok
2025-05-27T06:00,29.8,Bangkok
2025-05-27T07:00,30.3,Bangkok
2025-05-27T08:00,29.9,Bangkok
2025-05-27T09:00,29.6,Bangkok
2025-05-27T10:00,29.7,Bangkok
2025-05-27T11:00,29.2,Bangkok
2025-05-27T12:00,29.3,Bangkok
2025-05-27T13:00,28.6,Bangkok
2025-05-27T14:00,28.4,Bangkok
2025-05-27T15:00,28.2,Bangkok
2025-05-27T16:00,28.1,Bangkok
2025-05-27T17:00,28.0,Bangkok
2025-05-27T18:00,28.1,Bangkok
2025-05-27T19:00,27.9,Bangkok
2025-05-27T20:00,27.8,Bangkok
2025-05-27T21:00,27.7,Bangkok
2025-05-27T22:00,27.6,Bangkok
2025-05-27T23:00,27.4,Bangkok
2025-05-28T00:00,27.7,Bangkok
2025-05-28T01:00,29.1,Bangkok
2025-05-28T02:00,30.5,Bangkok
2025-05-28T03:00,31.8,Bangkok
2025-05-28T04:00,32.5,Bangkok
2025-05-28T05:00,32.9,Bangkok
2025-05-28T06:00,32.9,Bangkok
2025-05-28T07:00,32.1,Bangkok
2025-05-28T08:00,32.6,Bangkok
2025-05-28T09:00,32.7,Bangkok
2025-05-28T10:00,32.0,Bangkok
2025-05-28T11:00,31.1,Bangkok
2025-05-28T12:00,30.2,Bangkok
2025-05-28T13:00,29.8,Bangkok
2025-05-28T14:00,29.5,Bangkok
2025-05-28T15:00,29.3,Bangkok
2025-05-28T16:00,29.2,Bangkok
2025-05-28T17:00,29.3,Bangkok
2025-05-28T18:00,29.1,Bangkok
2025-05-28T19:00,28.9,Bangkok
2025-05-28T20:00,28.7,Bangkok
2025-05-28T21:00,28.5,Bangkok
2025-05-28T22:00,28.4,Bangkok
2025-05-28T23:00,28.3,Bangkok
2025-05-29T00:00,28.9,Bangkok
2025-05-29T01:00,30.4,Bangkok
2025-05-29T02:00,31.1,Bangkok
2025-05-29T03:00,31.5,Bangkok
2025-05-29T04:00,32.0,Bangkok
2025-05-29T05:00,32.3,Bangkok
2025-05-29T06:00,33.1,Bangkok
2025-05-29T07:00,33.3,Bangkok
2025-05-29T08:00,33.1,Bangkok
2025-05-29T09:00,32.4,Bangkok
2025-05-29T10:00,30.8,Bangkok
2025-05-29T11:00,29.5,Bangkok
2025-05-29T12:00,29.0,Bangkok
2025-05-29T13:00,28.8,Bangkok
2025-05-29T14:00,29.0,Bangkok
2025-05-29T15:00,29.2,Bangkok
2025-05-29T16:00,29.0,Bangkok
2025-05-29T17:00,28.8,Bangkok
2025-05-29T18:00,28.6,Bangkok
2025-05-29T19:00,28.6,Bangkok
2025-05-29T20:00,28.6,Bangkok
2025-05-29T21:00,28.6,Bangkok
2025-05-29T22:00,28.6,Bangkok
2025-05-29T23:00,28.6,Bangkok
2025-05-30T00:00,28.9,Bangkok
2025-05-30T01:00,29.7,Bangkok
2025-05-30T02:00,31.0,Bangkok
2025-05-30T03:00,32.0,Bangkok
2025-05-30T04:00,32.2,Bangkok
2025-05-30T05:00,32.1,Bangkok
2025-05-30T06:00,32.0,Bangkok
2025-05-30T07:00,32.7,Bangkok
2025-05-30T08:00,33.2,Bangkok
2025-05-30T09:00,32.2,Bangkok
2025-05-30T10:00,31.2,Bangkok
2025-05-30T11:00,30.6,Bangkok
2025-05-30T12:00,29.9,Bangkok
2025-05-30T13:00,29.7,Bangkok
2025-05-30T14:00,29.7,Bangkok
2025-05-30T15:00,29.6,Bangkok
2025-05-30T16:00,29.5,Bangkok
2025-05-30T17:00,29.5,Bangkok
2025-05-30T18:00,29.4,Bangkok
2025-05-30T19:00,29.1,Bangkok
2025-05-30T20:00,29.0,Bangkok
2025-05-30T21:00,28.9,Bangkok
2025-05-30T22:00,28.8,Bangkok
2025-05-30T23:00,28.6,Bangkok
2025-05-31T00:00,29.2,Bangkok
2025-05-31T01:00,29.9,Bangkok
2025-05-31T02:00,30.9,Bangkok
2025-05-31T03:00,31.7,Bangkok
2025-05-31T04:00,32.3,Bangkok
