time,temperature_2m,name
2025-05-27T00:00,23.7,Hanoi
2025-05-27T01:00,23.8,Hanoi
2025-05-27T02:00,24.1,Hanoi
2025-05-27T03:00,24.4,Hanoi
2025-05-27T04:00,24.6,Hanoi
2025-05-27T05:00,24.6,Hanoi
2025-05-27T06:00,24.4,Hanoi
2025-05-27T07:00,24.5,Hanoi
2025-05-27T08:00,24.8,Hanoi
2025-05-27T09:00,24.6,Hanoi
2025-05-27T10:00,24.5,Hanoi
2025-05-27T11:00,24.3,Hanoi
2025-05-27T12:00,24.2,Hanoi
2025-05-27T13:00,24.1,Hanoi
2025-05-27T14:00,24.1,Hanoi
2025-05-27T15:00,24.1,Hanoi
2025-05-27T16:00,24.1,Hanoi
2025-05-27T17:00,24.0,Hanoi
2025-05-27T18:00,23.9,Hanoi
2025-05-27T19:00,23.8,Hanoi
2025-05-27T20:00,23.8,Hanoi
2025-05-27T21:00,23.8,Hanoi
2025-05-27T22:00,23.8,Hanoi
2025-05-27T23:00,23.8,Hanoi
2025-05-28T00:00,23.9,Hanoi
2025-05-28T01:00,24.5,Hanoi
2025-05-28T02:00,25.9,Hanoi
2025-05-28T03:00,27.5,Hanoi
2025-05-28T04:00,28.3,Hanoi
2025-05-28T05:00,28.7,Hanoi
2025-05-28T06:00,29.2,Hanoi
2025-05-28T07:00,30.0,Hanoi
2025-05-28T08:00,30.3,Hanoi
2025-05-28T09:00,29.1,Hanoi
2025-05-28T10:00,27.7,Hanoi
2025-05-28T11:00,27.4,Hanoi
2025-05-28T12:00,26.9,Hanoi
2025-05-28T13:00,26.6,Hanoi
2025-05-28T14:00,26.3,Hanoi
2025-05-28T15:00,26.1,Hanoi
2025-05-28T16:00,25.9,Hanoi
2025-05-28T17:00,25.7,Hanoi
2025-05-28T18:00,25.6,Hanoi
2025-05-28T19:00,25.5,Hanoi
2025-05-28T20:00,25.4,Hanoi
2025-05-28T21:00,25.2,Hanoi
2025-05-28T22:00,25.2,Hanoi
2025-05-28T23:00,25.3,Hanoi
2025-05-29T00:00,25.6,Hanoi
2025-05-29T01:00,26.1,Hanoi
2025-05-29T02:00,26.6,Hanoi
2025-05-29T03:00,27.6,Hanoi
2025-05-29T04:00,28.8,Hanoi
2025-05-29T05:00,29.1,Hanoi
2025-05-29T06:00,29.4,Hanoi
2025-05-29T07:00,29.1,Hanoi
2025-05-29T08:00,28.8,Hanoi
2025-05-29T09:00,28.2,Hanoi
2025-05-29T10:00,27.4,Hanoi
2025-05-29T11:00,27.0,Hanoi
2025-05-29T12:00,26.7,Hanoi
2025-05-29T13:00,26.4,Hanoi
2025-05-29T14:00,26.2,Hanoi
2025-05-29T15:00,26.0,Hanoi
2025-05-29T16:00,25.7,Hanoi
2025-05-29T17:00,25.3,Hanoi
2025-05-29T18:00,25.0,Hanoi
2025-05-29T19:00,24.7,Hanoi
2025-05-29T20:00,24.6,Hanoi
2025-05-29T21:00,24.4,Hanoi
2025-05-29T22:00,24.3,Hanoi
2025-05-29T23:00,24.3,Hanoi
2025-05-30T00:00,24.4,Hanoi
2025-05-30T01:00,24.6,Hanoi
2025-05-30T02:00,26.4,Hanoi
2025-05-30T03:00,27.7,Hanoi
2025-05-30T04:00,28.5,Hanoi
2025-05-30T05:00,28.9,Hanoi
2025-05-30T06:00,29.8,Hanoi
2025-05-30T07:00,30.6,Hanoi
2025-05-30T08:00,30.8,Hanoi
2025-05-30T09:00,30.3,Hanoi
2025-05-30T10:00,29.7,Hanoi
2025-05-30T11:00,29.2,Hanoi
2025-05-30T12:00,28.3,Hanoi
2025-05-30T13:00,27.9,Hanoi
2025-05-30T14:00,27.5,Hanoi
2025-05-30T15:00,27.2,Hanoi
2025-05-30T16:00,26.9,Hanoi
2025-05-30T17:00,26.7,Hanoi
2025-05-30T18:00,26.5,Hanoi
2025-05-30T19:00,26.4,Hanoi
2025-05-30T20:00,26.4,Hanoi
2025-05-30T21:00,26.3,Hanoi
2025-05-30T22:00,26.2,Hanoi
2025-05-30T23:00,26.3,Hanoi
2025-05-31T00:00,27.2,Hanoi
2025-05-31T01:00,28.4,Hanoi
2025-05-31T02:00,30.0,Hanoi
2025-05-31T03:00,31.5,Hanoi
2025-05-31T04:00,32.9,Hanoi
2025-05-31T05:00,34.1,Hanoi
