time,temperature_2m,name
2025-05-27T00:00,11.3,Santiago
2025-05-27T01:00,10.9,Santiago
2025-05-27T02:00,10.8,Santiago
2025-05-27T03:00,10.7,Santiago
2025-05-27T04:00,10.3,Santiago
2025-05-27T05:00,9.8,Santiago
2025-05-27T06:00,8.8,Santiago
2025-05-27T07:00,8.7,Santiago
2025-05-27T08:00,8.7,Santiago
2025-05-27T09:00,8.6,Santiago
2025-05-27T10:00,8.4,Santiago
2025-05-27T11:00,8.0,Santiago
2025-05-27T12:00,7.5,Santiago
2025-05-27T13:00,7.7,Santiago
2025-05-27T14:00,8.9,Santiago
2025-05-27T15:00,10.3,Santiago
2025-05-27T16:00,11.5,Santiago
2025-05-27T17:00,12.6,Santiago
2025-05-27T18:00,13.8,Santiago
2025-05-27T19:00,14.2,Santiago
2025-05-27T20:00,14.0,Santiago
2025-05-27T21:00,13.5,Santiago
2025-05-27T22:00,12.4,Santiago
2025-05-27T23:00,11.2,Santiago
2025-05-28T00:00,10.7,Santiago
2025-05-28T01:00,10.2,Santiago
2025-05-28T02:00,9.0,Santiago
2025-05-28T03:00,8.4,Santiago
2025-05-28T04:00,8.2,Santiago
2025-05-28T05:00,7.5,Santiago
2025-05-28T06:00,6.9,Santiago
2025-05-28T07:00,6.6,Santiago
2025-05-28T08:00,6.4,Santiago
2025-05-28T09:00,6.4,Santiago
2025-05-28T10:00,6.8,Santiago
2025-05-28T11:00,6.8,Santiago
2025-05-28T12:00,7.0,Santiago
2025-05-28T13:00,8.5,Santiago
2025-05-28T14:00,11.5,Santiago
2025-05-28T15:00,13.3,Santiago
2025-05-28T16:00,15.8,Santiago
2025-05-28T17:00,18.4,Santiago
2025-05-28T18:00,19.3,Santiago
2025-05-28T19:00,19.8,Santiago
2025-05-28T20:00,19.5,Santiago
2025-05-28T21:00,18.7,Santiago
2025-05-28T22:00,16.4,Santiago
2025-05-28T23:00,14.9,Santiago
2025-05-29T00:00,14.4,Santiago
2025-05-29T01:00,14.7,Santiago
2025-05-29T02:00,13.8,Santiago
2025-05-29T03:00,12.2,Santiago
2025-05-29T04:00,11.3,Santiago
2025-05-29T05:00,11.7,Santiago
2025-05-29T06:00,11.0,Santiago
2025-05-29T07:00,10.6,Santiago
2025-05-29T08:00,9.8,Santiago
2025-05-29T09:00,9.4,Santiago
2025-05-29T10:00,10.0,Santiago
2025-05-29T11:00,9.7,Santiago
2025-05-29T12:00,9.3,Santiago
2025-05-29T13:00,11.1,Santiago
2025-05-29T14:00,14.6,Santiago
2025-05-29T15:00,17.2,Santiago
2025-05-29T16:00,19.0,Santiago
2025-05-29T17:00,20.7,Santiago
2025-05-29T18:00,21.6,Santiago
2025-05-29T19:00,21.7,Santiago
2025-05-29T20:00,21.0,Santiago
2025-05-29T21:00,19.6,Santiago
2025-05-29T22:00,17.2,Santiago
2025-05-29T23:00,15.3,Santiago
2025-05-30T00:00,14.4,Santiago
2025-05-30T01:00,13.2,Santiago
2025-05-30T02:00,13.2,Santiago
2025-05-30T03:00,12.6,Santiago
2025-05-30T04:00,12.3,Santiago
2025-05-30T05:00,11.8,Santiago
2025-05-30T06:00,10.6,Santiago
2025-05-30T07:00,9.8,Santiago
2025-05-30T08:00,9.4,Santiago
2025-05-30T09:00,9.8,Santiago
2025-05-30T10:00,9.7,Santiago
2025-05-30T11:00,8.3,Santiago
2025-05-30T12:00,8.7,Santiago
2025-05-30T13:00,10.0,Santiago
2025-05-30T14:00,13.4,Santiago
2025-05-30T15:00,15.6,Santiago
2025-05-30T16:00,17.5,Santiago
2025-05-30T17:00,19.2,Santiago
2025-05-30T18:00,20.5,Santiago
2025-05-30T19:00,20.6,Santiago
2025-05-30T20:00,20.1,Santiago
2025-05-30T21:00,19.0,Santiago
2025-05-30T22:00,16.7,Santiago
2025-05-30T23:00,15.0,Santiago
2025-05-31T00:00,13.8,Santiago
2025-05-31T01:00,12.9,Santiago
2025-05-31T02:00,12.4,Santiago
2025-05-31T03:00,12.0,Santiago
2025-05-31T04:00,11.7,Santiago
2025-05-31T05:00,11.5,Santiago
2025-05-31T06:00,11.2,Santiago
2025-05-31T07:00,10.8,Santiago
2025-05-31T08:00,10.4,Santiago
2025-05-31T09:00,10.0,Santiago
2025-05-31T10:00,9.4,Santiago
2025-05-31T11:00,8.9,Santiago
2025-05-31T12:00,9.5,Santiago
2025-05-31T13:00,11.8,Santiago
2025-05-31T14:00,15.1,Santiago
2025-05-31T15:00,18.0,Santiago
2025-05-31T16:00,20.0,Santiago
2025-05-31T17:00,21.5,Santiago
2025-05-31T18:00,22.4,Santiago
2025-05-31T19:00,22.6,Santiago
2025-05-31T20:00,22.1,Santiago
2025-05-31T21:00,21.0,Santiago
2025-05-31T22:00,19.0,Santiago
2025-05-31T23:00,16.4,Santiago
2025-06-01T00:00,14.3,Santiago
2025-06-01T01:00,13.1,Santiago
2025-06-01T02:00,12.4,Santiago
2025-06-01T03:00,11.8,Santiago
2025-06-01T04:00,11.4,Santiago
2025-06-01T05:00,11.1,Santiago
2025-06-01T06:00,10.9,Santiago
2025-06-01T07:00,10.8,Santiago
2025-06-01T08:00,10.7,Santiago
2025-06-01T09:00,10.6,Santiago
2025-06-01T10:00,10.1,Santiago
2025-06-01T11:00,9.4,Santiago
2025-06-01T12:00,9.8,Santiago
2025-06-01T13:00,12.0,Santiago
2025-06-01T14:00,15.2,Santiago
2025-06-01T15:00,17.9,Santiago
2025-06-01T16:00,19.6,Santiago
2025-06-01T17:00,20.9,Santiago
2025-06-01T18:00,21.7,Santiago
2025-06-01T19:00,21.4,Santiago
2025-06-01T20:00,20.8,Santiago
2025-06-01T21:00,19.9,Santiago
2025-06-01T22:00,18.5,Santiago
2025-06-01T23:00,16.9,Santiago
2025-06-02T00:00,15.6,Santiago
2025-06-02T01:00,14.8,Santiago
2025-06-02T02:00,14.4,Santiago
2025-06-02T03:00,14.0,Santiago
2025-06-02T04:00,13.6,Santiago
2025-06-02T05:00,13.3,Santiago
2025-06-02T06:00,12.9,Santiago
2025-06-02T07:00,12.3,Santiago
2025-06-02T08:00,11.7,Santiago
2025-06-02T09:00,11.2,Santiago
2025-06-02T10:00,10.9,Santiago
2025-06-02T11:00,10.8,Santiago
2025-06-02T12:00,11.0,Santiago
2025-06-02T13:00,11.8,Santiago
2025-06-02T14:00,12.9,Santiago
2025-06-02T15:00,13.9,Santiago
2025-06-02T16:00,14.7,Santiago
2025-06-02T17:00,15.4,Santiago
2025-06-02T18:00,15.6,Santiago
2025-06-02T19:00,15.1,Santiago
2025-06-02T20:00,14.2,Santiago
2025-06-02T21:00,13.3,Santiago
2025-06-02T22:00,12.7,Santiago
2025-06-02T23:00,12.1,Santiago
