time,temperature_2m,name
2025-05-27T00:00,17.4,Seoul
2025-05-27T01:00,19.2,Seoul
2025-05-27T02:00,21.0,Seoul
2025-05-27T03:00,23.0,Seoul
2025-05-27T04:00,24.2,Seoul
2025-05-27T05:00,24.8,Seoul
2025-05-27T06:00,25.1,Seoul
2025-05-27T07:00,24.5,Seoul
2025-05-27T08:00,23.8,Seoul
2025-05-27T09:00,22.8,Seoul
2025-05-27T10:00,21.1,Seoul
2025-05-27T11:00,19.4,Seoul
2025-05-27T12:00,18.1,Seoul
2025-05-27T13:00,17.2,Seoul
2025-05-27T14:00,16.5,Seoul
2025-05-27T15:00,15.7,Seoul
2025-05-27T16:00,14.8,Seoul
2025-05-27T17:00,14.4,Seoul
2025-05-27T18:00,13.8,Seoul
2025-05-27T19:00,13.3,Seoul
2025-05-27T20:00,13.1,Seoul
2025-05-27T21:00,13.0,Seoul
2025-05-27T22:00,13.1,Seoul
2025-05-27T23:00,13.7,Seoul
2025-05-28T00:00,15.4,Seoul
2025-05-28T01:00,17.9,Seoul
2025-05-28T02:00,20.4,Seoul
2025-05-28T03:00,21.9,Seoul
2025-05-28T04:00,22.4,Seoul
2025-05-28T05:00,22.1,Seoul
2025-05-28T06:00,22.2,Seoul
2025-05-28T07:00,22.6,Seoul
2025-05-28T08:00,22.5,Seoul
2025-05-28T09:00,21.6,Seoul
2025-05-28T10:00,20.0,Seoul
2025-05-28T11:00,18.0,Seoul
2025-05-28T12:00,17.2,Seoul
2025-05-28T13:00,16.8,Seoul
2025-05-28T14:00,16.5,Seoul
2025-05-28T15:00,16.1,Seoul
2025-05-28T16:00,15.5,Seoul
2025-05-28T17:00,15.1,Seoul
2025-05-28T18:00,14.6,Seoul
2025-05-28T19:00,14.4,Seoul
2025-05-28T20:00,13.9,Seoul
2025-05-28T21:00,13.6,Seoul
2025-05-28T22:00,14.2,Seoul
2025-05-28T23:00,15.6,Seoul
2025-05-29T00:00,17.6,Seoul
2025-05-29T01:00,19.6,Seoul
2025-05-29T02:00,21.9,Seoul
2025-05-29T03:00,23.7,Seoul
2025-05-29T04:00,24.6,Seoul
2025-05-29T05:00,24.8,Seoul
2025-05-29T06:00,24.4,Seoul
2025-05-29T07:00,24.5,Seoul
2025-05-29T08:00,23.9,Seoul
2025-05-29T09:00,22.9,Seoul
2025-05-29T10:00,21.4,Seoul
2025-05-29T11:00,19.5,Seoul
2025-05-29T12:00,18.1,Seoul
2025-05-29T13:00,17.4,Seoul
2025-05-29T14:00,17.0,Seoul
2025-05-29T15:00,16.4,Seoul
2025-05-29T16:00,15.7,Seoul
2025-05-29T17:00,15.2,Seoul
2025-05-29T18:00,14.8,Seoul
2025-05-29T19:00,14.6,Seoul
2025-05-29T20:00,14.6,Seoul
2025-05-29T21:00,14.1,Seoul
2025-05-29T22:00,15.1,Seoul
2025-05-29T23:00,17.0,Seoul
2025-05-30T00:00,19.1,Seoul
2025-05-30T01:00,21.4,Seoul
2025-05-30T02:00,23.5,Seoul
2025-05-30T03:00,25.0,Seoul
2025-05-30T04:00,26.5,Seoul
2025-05-30T05:00,27.4,Seoul
2025-05-30T06:00,27.8,Seoul
2025-05-30T07:00,27.5,Seoul
2025-05-30T08:00,26.7,Seoul
2025-05-30T09:00,25.4,Seoul
2025-05-30T10:00,22.9,Seoul
2025-05-30T11:00,20.8,Seoul
2025-05-30T12:00,19.5,Seoul
2025-05-30T13:00,19.2,Seoul
2025-05-30T14:00,18.1,Seoul
2025-05-30T15:00,17.0,Seoul
2025-05-30T16:00,16.1,Seoul
2025-05-30T17:00,15.4,Seoul
2025-05-30T18:00,14.6,Seoul
