id,name,latitude,longitude
1,New York,40.7128,-74.006
2,London,51.5074,-0.1278
3,Tokyo,35.6895,139.692
4,Paris,48.8566,2.3522
5,Sydney,-33.8688,151.209
6,Berlin,52.52,13.405
7,Sao Paulo,-23.5505,-46.6333
8,Toronto,43.651,-79.347
9,Cape Town,-33.9249,18.4241
10,Mumbai,19.076,72.8777
11,Medellin,6.25,-75.56
12,Mexico City,19.4326,-99.1332
13,Madrid,40.4168,-3.7038
14,Moscow,55.7558,37.6176
15,Beijing,39.9042,116.407
16,Rome,41.9028,12.4964
17,Buenos Aires,-34.6037,-58.3816
18,Santiago,-33.4489,-70.6693
19,Seoul,37.5665,126.978
20,Cairo,30.0444,31.2357
21,Lima,-12.0464,-77.0428
22,Oslo,59.9139,10.7522
23,Amsterdam,52.3676,4.9041
24,Stockholm,59.3293,18.0686
25,Auckland,-36.8485,174.763
26,Bangkok,13.7563,100.502
27,Jakarta,-6.2088,106.846
28,Hanoi,21.0285,105.854
29,Istanbul,41.0082,28.9784
30,Kyiv,50.4501,30.5234
31,Warsaw,52.2297,21.0122
32,Dubai,25.2048,55.2708
33,Singapore,1.3521,103.8198
34,Vienna,48.2082,16.3738
35,Prague,50.0755,14.4378
36,Athens,37.9838,23.7275
37,Dublin,53.3498,-6.2603
38,Helsinki,60.1699,24.9384
39,Brussels,50.8503,4.3517
40,Lisbon,38.7223,-9.1393
41,Budapest,47.4979,19.0402
42,Copenhagen,55.6761,12.5683
43,Bogota,4.7110,-74.0721
44,Caracas,10.4806,-66.9036
45,Quito,-0.1807,-78.4678
46,La Paz,-16.4897,-68.1193
47,Montevideo,-34.9011,-56.1645
48,Asuncion,-25.2867,-57.3333
49,San Jose,9.9281,-84.0907
50,Panama City,8.9824,-79.5199
51,San Salvador,13.6929,-89.2182
52,Guatemala City,14.6349,-90.5069
53,Tegucigalpa,14.0723,-87.1921
54,Managua,12.1149,-86.2362
55,Port-au-Prince,18.5944,-72.3074
56,Santo Domingo,18.4861,-69.9312
57,San Juan,18.4655,-66.1057
58,Havana,23.1136,-82.3666
59,Kingston,18.0179,-76.8099
60,Nassau,25.0343,-77.3963
61,Vancouver,49.2827,-123.1207
62,Montreal,45.5017,-73.5673
63,Calgary,51.0447,-114.0719
64,Edmonton,53.5461,-113.4938
65,Ottawa,45.4215,-75.6972
66,Quebec City,46.8139,-71.2080
67,Winnipeg,49.8951,-97.1384
68,Halifax,44.6488,-63.5752
69,St Johns,47.5615,-52.7126
70,Victoria,48.4284,-123.3656
71,Regina,50.4452,-104.6189
72,Saskatoon,52.1332,-106.6700
73,Yellowknife,62.4540,-114.3718
74,Whitehorse,60.7212,-135.0568
75,Iqaluit,63.7467,-68.5170
76,Charlottetown,46.2382,-63.1311
77,Fredericton,45.9636,-66.6431
78,Saint John,45.2733,-66.0633
79,Moncton,46.0878,-64.7782
80,Thunder Bay,48.3809,-89.2477
81,Sudbury,46.4917,-80.9930
82,Windsor,42.3149,-83.0364
83,London ON,42.9849,-81.2453
84,Kingston ON,44.2312,-76.4860
85,Kelowna,49.8880,-119.4960
86,Victoria BC,48.4284,-123.3656
87,Nanaimo,49.1659,-123.9401
88,Kamloops,50.6745,-120.3273
89,Prince George,53.9171,-122.7497
90,Fort McMurray,56.7264,-111.3803
91,Red Deer,52.2690,-113.8116
92,Lethbridge,49.6956,-112.8451
93,Medicine Hat,50.0419,-110.6768
94,Grande Prairie,55.1699,-118.7986
95,Brandon,49.8437,-99.9516
96,Thompson,55.7435,-97.8558
97,Prince Albert,53.2034,-105.7530
98,Moose Jaw,50.3917,-105.5347
99,North Battleford,52.7894,-108.2967
100,Estevan,49.1392,-102.9916
